 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
    489    4637  1615.52    3059.96  114.0779  22.5407   0.8833     -97.1018
    489    4759  1637.21    3180.45  114.0896  22.5390   0.9810     -95.4472
    489    4881  1658.92    3301.08  114.1014  22.5372   1.0794     -94.0911
    489    5003  1680.66    3421.84  114.1131  22.5355   1.1785     -92.9602
    489    5125  1702.43    3542.76  114.1249  22.5337   1.2781     -92.0032
    489    5247  1724.22    3663.84  114.1367  22.5319   1.3781     -91.1831
    489    5369  1746.04    3785.09  114.1485  22.5302   1.4784     -90.4726
    489    5491  1767.90    3906.52  114.1604  22.5284   1.5791     -89.8511
    489    5613  1789.79    4028.14  114.1722  22.5267   1.6802     -89.3028
    489    5735  1811.72    4149.96  114.1841  22.5249   1.7815     -88.8155
    489    5857  1833.68    4271.99  114.1960  22.5231   1.8831     -88.3796
    489    6000  1859.47    4415.30  114.2100  22.5210   2.0025     -87.9235
    611       1  911.42    -1544.03  113.6293  22.5955   3.0052     103.6143
    611     123  933.48    -1421.52  113.6412  22.5937   2.9028     103.7851
    611     245  955.50    -1299.24  113.6531  22.5920   2.8006     103.9678
    611     367  977.49    -1177.18  113.6650  22.5902   2.6986     104.1636
    611     489  999.43    -1055.33  113.6769  22.5885   2.5968     104.3741
    611     611  1021.34    -933.68  113.6888  22.5868   2.4952     104.6010
    611     733  1043.21    -812.22  113.7006  22.5850   2.3938     104.8464
    611     855  1065.05    -690.95  113.7125  22.5833   2.2926     105.1127
    611     977  1086.86    -569.85  113.7243  22.5816   2.1915     105.4028
    611    1099  1108.64    -448.90  113.7361  22.5799   2.0906     105.7201
    611    1221  1130.39    -328.12  113.7478  22.5781   1.9900     106.0687
    611    1343  1152.12    -207.47  113.7596  22.5764   1.8895     106.4535
    611    1465  1173.82    -86.96  113.7713  22.5747   1.7892     106.8805
    611    1587  1195.50    33.42  113.7831  22.5730   1.6891     107.3571
    611    1709  1217.15    153.69  113.7948  22.5713   1.5892     107.8928
    611    1831  1238.79    273.86  113.8065  22.5695   1.4895     108.4991
    611    1953  1260.41    393.93  113.8182  22.5678   1.3901     109.1910
    611    2075  1282.01    513.91  113.8299  22.5661   1.2910     109.9882
    611    2197  1303.60    633.82  113.8416  22.5644   1.1923     110.9163
    611    2319  1325.18    753.66  113.8533  22.5627   1.0939     112.0104
    611    2441  1346.75    873.44  113.8650  22.5609   0.9961     113.3185
    611    2563  1368.31    993.17  113.8766  22.5592   0.8989     114.9089
    611    2685  1389.86    1112.86  113.8883  22.5575   0.8026     116.8811
    611    2807  1411.40    1232.53  113.9000  22.5558   0.7076     119.3853
    611    2929  1432.94    1352.18  113.9116  22.5541   0.6143     122.6563
    611    3051  1454.48    1471.81  113.9233  22.5524   0.5237     127.0761
    611    3173  1476.02    1591.45  113.9350  22.5506   0.4375     133.2864
    611    3295  1497.56    1711.09  113.9466  22.5489   0.3588     142.3687
    611    3417  1519.11    1830.75  113.9583  22.5472   0.2939     155.9602
    611    3539  1540.65    1950.44  113.9700  22.5455   0.2534     175.4017
    611    3661  1562.21    2070.17  113.9816  22.5437   0.2496     -161.5196
    611    3783  1583.77    2189.95  113.9933  22.5420   0.2840     -141.0421
    611    3905  1605.34    2309.78  114.0050  22.5403   0.3455     -126.3936
    611    4027  1626.93    2429.67  114.0167  22.5385   0.4223     -116.5947
    611    4149  1648.52    2549.65  114.0284  22.5368   0.5077     -109.9390
    611    4271  1670.13    2669.70  114.0401  22.5351   0.5980     -105.2389
    611    4393  1691.76    2789.86  114.0518  22.5333   0.6913     -101.7850
    611    4515  1713.41    2910.11  114.0635  22.5316   0.7866     -99.1565
    611    4637  1735.08    3030.48  114.0752  22.5299   0.8833     -97.0968
    611    4759  1756.77    3150.98  114.0870  22.5281   0.9810     -95.4427
    611    4881  1778.48    3271.60  114.0987  22.5264   1.0794     -94.0870
    611    5003  1800.22    3392.37  114.1105  22.5246   1.1785     -92.9565
    611    5125  1821.98    3513.29  114.1223  22.5229   1.2780     -91.9998
    611    5247  1843.78    3634.37  114.1341  22.5211   1.3780     -91.1800
    611    5369  1865.60    3755.62  114.1459  22.5194   1.4784     -90.4697
    611    5491  1887.46    3877.05  114.1577  22.5176   1.5791     -89.8484
    611    5613  1909.35    3998.67  114.1696  22.5158   1.6802     -89.3004
    611    5735  1931.27    4120.49  114.1815  22.5140   1.7815     -88.8133
    611    5857  1953.24    4242.52  114.1933  22.5123   1.8831     -88.3775
    611    6000  1979.03    4385.83  114.2073  22.5102   2.0025     -87.9216
    733       1  1030.99    -1573.51  113.6267  22.5846   3.0052     103.6119
    733     123  1053.05    -1451.00  113.6386  22.5829   2.9028     103.7826
    733     245  1075.08    -1328.72  113.6505  22.5811   2.8006     103.9652
    733     367  1097.06    -1206.66  113.6624  22.5794   2.6986     104.1610
    733     489  1119.00    -1084.81  113.6743  22.5777   2.5968     104.3714
    733     611  1140.91    -963.16  113.6862  22.5759   2.4952     104.5982
    733     733  1162.78    -841.70  113.6980  22.5742   2.3938     104.8435
    733     855  1184.62    -720.43  113.7098  22.5725   2.2926     105.1098
    733     977  1206.43    -599.33  113.7217  22.5707   2.1915     105.3998
    733    1099  1228.21    -478.38  113.7334  22.5690   2.0906     105.7169
    733    1221  1249.96    -357.60  113.7452  22.5673   1.9900     106.0654
    733    1343  1271.69    -236.95  113.7570  22.5656   1.8895     106.4500
    733    1465  1293.39    -116.44  113.7687  22.5639   1.7891     106.8768
    733    1587  1315.06     3.94  113.7805  22.5621   1.6890     107.3533
    733    1709  1336.72    124.21  113.7922  22.5604   1.5892     107.8887
    733    1831  1358.36    244.38  113.8039  22.5587   1.4895     108.4948
    733    1953  1379.98    364.45  113.8156  22.5570   1.3901     109.1865
    733    2075  1401.58    484.43  113.8273  22.5553   1.2910     109.9834
    733    2197  1423.17    604.34  113.8390  22.5535   1.1922     110.9112
    733    2319  1444.75    724.18  113.8507  22.5518   1.0939     112.0048
    733    2441  1466.32    843.96  113.8624  22.5501   0.9961     113.3125
    733    2563  1487.87    963.69  113.8740  22.5484   0.8989     114.9023
    733    2685  1509.42    1083.39  113.8857  22.5467   0.8026     116.8739
    733    2807  1530.97    1203.05  113.8974  22.5449   0.7075     119.3773
    733    2929  1552.51    1322.70  113.9090  22.5432   0.6142     122.6474
    733    3051  1574.05    1442.33  113.9207  22.5415   0.5236     127.0660
    733    3173  1595.59    1561.97  113.9323  22.5398   0.4374     133.2750
    733    3295  1617.13    1681.61  113.9440  22.5381   0.3588     142.3564
    733    3417  1638.67    1801.28  113.9557  22.5363   0.2938     155.9484
    733    3539  1660.22    1920.97  113.9673  22.5346   0.2533     175.3945
    733    3661  1681.77    2040.69  113.9790  22.5329   0.2495     -161.5182
    733    3783  1703.33    2160.47  113.9907  22.5312   0.2839     -141.0345
    733    3905  1724.90    2280.30  114.0024  22.5294   0.3454     -126.3841
    733    4027  1746.49    2400.20  114.0140  22.5277   0.4223     -116.5856
    733    4149  1768.08    2520.17  114.0257  22.5260   0.5077     -109.9307
    733    4271  1789.70    2640.23  114.0374  22.5242   0.5979     -105.2317
    733    4393  1811.32    2760.38  114.0491  22.5225   0.6913     -101.7786
    733    4515  1832.97    2880.64  114.0609  22.5208   0.7866     -99.1509
    733    4637  1854.64    3001.01  114.0726  22.5190   0.8832     -97.0917
    733    4759  1876.33    3121.50  114.0843  22.5173   0.9809     -95.4382
    733    4881  1898.04    3242.13  114.0961  22.5155   1.0794     -94.0829
    733    5003  1919.78    3362.90  114.1079  22.5138   1.1784     -92.9528
    733    5125  1941.54    3483.82  114.1196  22.5120   1.2780     -91.9964
    733    5247  1963.33    3604.90  114.1314  22.5103   1.3780     -91.1769
    733    5369  1985.16    3726.15  114.1433  22.5085   1.4784     -90.4669
    733    5491  2007.01    3847.58  114.1551  22.5067   1.5791     -89.8458
    733    5613  2028.90    3969.20  114.1669  22.5050   1.6801     -89.2980
    733    5735  2050.83    4091.02  114.1788  22.5032   1.7815     -88.8110
    733    5857  2072.79    4213.05  114.1907  22.5014   1.8830     -88.3754
    733    6000  2098.58    4356.36  114.2047  22.4994   2.0025     -87.9197
    855       1  1150.56    -1602.99  113.6241  22.5738   3.0052     103.6095
    855     123  1172.63    -1480.48  113.6360  22.5720   2.9028     103.7802
    855     245  1194.65    -1358.20  113.6479  22.5703   2.8006     103.9627
    855     367  1216.63    -1236.14  113.6598  22.5686   2.6986     104.1584
    855     489  1238.58    -1114.29  113.6717  22.5668   2.5968     104.3687
    855     611  1260.48    -992.64  113.6836  22.5651   2.4952     104.5954
    855     733  1282.36    -871.19  113.6954  22.5634   2.3938     104.8406
    855     855  1304.20    -749.91  113.7072  22.5616   2.2926     105.1068
    855     977  1326.00    -628.81  113.7190  22.5599   2.1915     105.3967
    855    1099  1347.78    -507.87  113.7308  22.5582   2.0906     105.7137
    855    1221  1369.53    -387.08  113.7426  22.5565   1.9899     106.0620
    855    1343  1391.26    -266.43  113.7544  22.5547   1.8894     106.4465
    855    1465  1412.96    -145.92  113.7661  22.5530   1.7891     106.8732
    855    1587  1434.63    -25.54  113.7779  22.5513   1.6890     107.3495
    855    1709  1456.29    94.73  113.7896  22.5496   1.5891     107.8847
    855    1831  1477.93    214.90  113.8013  22.5479   1.4895     108.4906
    855    1953  1499.55    334.97  113.8130  22.5461   1.3901     109.1820
    855    2075  1521.15    454.95  113.8247  22.5444   1.2910     109.9786
    855    2197  1542.74    574.86  113.8364  22.5427   1.1922     110.9060
    855    2319  1564.32    694.70  113.8481  22.5410   1.0939     111.9993
    855    2441  1585.88    814.48  113.8597  22.5393   0.9960     113.3065
    855    2563  1607.44    934.21  113.8714  22.5375   0.8989     114.8958
    855    2685  1628.99    1053.91  113.8831  22.5358   0.8026     116.8667
    855    2807  1650.53    1173.57  113.8947  22.5341   0.7075     119.3693
    855    2929  1672.07    1293.22  113.9064  22.5324   0.6142     122.6384
    855    3051  1693.61    1412.86  113.9181  22.5307   0.5236     127.0560
    855    3173  1715.15    1532.49  113.9297  22.5289   0.4374     133.2637
    855    3295  1736.69    1652.14  113.9414  22.5272   0.3587     142.3441
    855    3417  1758.23    1771.80  113.9530  22.5255   0.2937     155.9366
    855    3539  1779.78    1891.49  113.9647  22.5238   0.2532     175.3874
    855    3661  1801.33    2011.22  113.9764  22.5221   0.2494     -161.5169
    855    3783  1822.89    2130.99  113.9881  22.5203   0.2839     -141.0269
