"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-06-20","1","1.3","<50","0.18","<0.05","<1","<1","22","<1","510","<0.1","9","2400","0.8","1","7761","2","<0.01","105","8","120000","null","0.5","<0.01","<50","<1","100","<1","4","2","0.55","0.031","<0.5","0.042","8.3","0.3","4","15","<1","<0.02","3","<1","0.42","2","0.07","6500","1700","3.3","<2","28.4","10","8100"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-07-24","1","0.6","<50","0.17","<0.05","<1","1","21","<1","1800","<0.1","89","8700","2.3","1","30871","4","<0.01","89","6","15000","null","0.7","<0.01","<50","<1","80","<1","7","5","0.42","0.017","<0.5","0.045","7.8","1.5","16.8","9.3","<1","<0.02","3.2","<1","0.35","3","0.07","29000","8000","1.3","2","31.2","<10","700"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-08-05","1","1.3","<50","0.12","<0.05","<1","<1","22","<1","1200","<0.1","94","6900","1","2","23520","3","<0.01","91","6.4","13000","null","0.7","<0.01","<50","<1","120","<1","5","3","0.45","0.086","<0.5","0.033","7.7","<0.2","12.6","10","<1","<0.02","1.2","<1","0.24","2","0.07","23000","6700","1.5","<2","30.7","10","1300"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-09-11","1","0.5","<50","0.34","0.09","<1","<1","22","<1","450","<0.1","20","2100","0.6","1","5885","2","<0.01","101","7.6","46000","null","0.6","<0.01","<50","<1","150","<1","4","2","0.59","0.037","<0.5","0.073","7.9","<0.2","2.9","16","<1","<0.02","2.6","<1","0.4","1","0.08","5300","1800","3.1","<2","29.5","<10","11000"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-10-02","1","1.8","<50","0.25","<0.05","<1","1","20","<1","2000","<0.1","31","13000","1.3","2","33477","3","<0.01","88","6.1","110000","null","0.8","<0.01","<50","<1","10","<1","9","5","0.32","0.014","<0.5","0.048","8.3","1.2","19.2","5.8","<1","<0.02","3.4","<1","0.39","3","0.11","33000","7600","1.5","<2","29.1","10","33000"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-11-06","1","2.6","<50","0.36","0.21","<1","1","19","<1","2500","<0.1","27","19000","3.6","2","26358","5","<0.01","79","5.8","11000","null","0.9","<0.01","<50","<1","100","<1","9","7","0.33","0.016","<0.5","0.039","7.8","2.3","15.7","4.9","<1","<0.02","2.4","<1","0.48","2","0.14","35000","5000","2","<2","26.2","<10","4800"
"Tolo Harbour And Channel","Fo Tan Nullah","TR17L","2024-12-04","1","2","<50","0.15","<0.05","<1","1","15","<1","2900","<0.1","29","19000","2.1","1","37457","4","<0.01","88","6.5","860","null","0.9","<0.01","<50","<1","70","<1","10","5","0.17","0.006","<0.5","0.019","8.1","0.7","24.3","3.2","<1","<0.02","4","<1","0.24","4","0.08","38000","6900","1.2","<2","23.9","10","40"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-01-03","1","1.2","<50","0.011","0.07","<1","<1","50","<1","130","<0.1","5","510","3.3","2","2050","2","<0.01","119","10.8","34000","0.096","0.5","<0.01","<50","<1","30","<1","7","6","0.59","0.012","<0.5","0.027","8.1","3.1","1.2","20","<1","<0.02","2.6","<1","0.14","3","0.04","1900","500","5.8","<2","19.7","<10","3900"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-02-22","1","2.8","<50","0.43","0.05","<1","<1","62","<1","200","<0.1","10","1300","0.2","<1","2732","1","<0.01","91","7.7","120000","0.27","0.6","<0.01","<50","<1","110","<1","8","8","0.86","0.03","<0.5","0.058","7.4","<0.2","1.5","16","<1","0.02","27","<1","0.63","4","0.07","2500","320","19.6","<2","23.1","<10","66000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-03-04","1","2.9","<50","0.11","0.07","<1","<1","52","<1","240","0.1","11","860","2.3","2","2978","2","<0.01","92","8.4","43000","0.122","0.6","<0.01","50","<1","90","<1","15","7","1.3","0.026","<0.5","0.02","7.6","1.1","1.8","19","<1","0.02","30","<1","1.5","6","0.12","2700","760","17.3","<2","19.2","10","3900"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-04-10","1","5.9","<50","0.013","0.1","<1","<1","46","<1","490","0.2","58","2700","1.2","<1","8402","3","<0.01","107","8.8","340000","0.056","0.6","<0.01","<50","<1","100","<1","7","9","0.75","0.011","0.7","0.012","7.6","<0.2","4.8","17","<1","<0.02","2","<1","0.35","10","0.05","7500","1700","3.2","<2","24","10","10000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-05-17","1","3","<50","0.034","0.18","<1","<1","32","<1","930","0.1","28","3900","4.3","2","12105","4","<0.01","134","10.4","190000","0.086","0.7","<0.01","<50","<1","70","<1","6","8","0.5","0.011","<0.5","0.044","8","2.5","6.7","15","<1","<0.02","3.2","<1","0.28","4","0.06","11000","2400","4.1","<2","26.6","10","6500"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-06-20","1","1.4","110","0.011","<0.05","<1","<1","21","<1","290","<0.1","9","1400","0.8","<1","4690","2","<0.01","116","8.8","210000","0.13","0.4","<0.01","<50","<1","40","<1","4","5","0.5","0.017","<0.5","0.03","8","0.7","2.3","18","<1","<0.02","2.3","<1","0.15","2","0.04","4600","1500","3.3","<2","28.7","20","25000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-07-24","1","0.8","<50","0.016","<0.05","<1","<1","26","<1","150","<0.1","8","660","2.4","<1","2431","2","<0.01","107","8.3","99000","0.072","0.4","<0.01","50","<1","30","<1","4","6","0.54","0.008","<0.5","0.074","7.4","1.4","1.2","19","<1","<0.02","2.6","<1","0.27","2","0.09","2600","910","4.8","<2","28.5","10","17000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-08-05","1","0.6","<50","0.083","<0.05","<1","<1","19","<1","<50","<0.1","2","95","1.8","<1","432","2","<0.01","110","8.4","170000","0.211","0.4","<0.01","50","<1","30","<1","3","5","0.58","0.009","<0.5","0.017","7.3","1.3","0.2","19","<1","<0.02","2.6","<1","0.23","2","0.04","800","550","3","<2","29.4","70","4600"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-09-11","1","1.1","60","0.089","<0.05","<1","<1","19","<1","<50","<0.1","8","82","0.6","<1","384","3","<0.01","106","8.2","16000","0.289","0.4","<0.01","<50","<1","30","<1","3","5","0.59","0.006","<0.5","0.055","7.5","<0.2","0.2","21","<1","<0.02","<0.5","<1","0.21","1","0.06","330","120","3.7","<2","28.2","10","720"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-10-02","1","5.5","<50","0.01","0.06","<1","<1","20","<1","50","<0.1","7","120","0.6","<1","451","1","<0.01","107","8.7","90000","0.026","0.4","<0.01","50","<1","30","<1","3","3","0.58","0.017","<0.5","0.027","7.4","0.3","0.2","19","<1","<0.02","18","<1","0.26","2","0.05","430","140","27.5","<2","25.7","<10","10000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-11-06","1","3","<50","0.13","<0.05","<1","<1","23","<1","50","<0.1","8","270","1.5","<1","502","2","<0.01","107","9.1","33000","0.086","0.5","<0.01","<50","<1","50","<1","4","4","0.55","0.009","<0.5","0.026","7.6","1.3","0.3","15","<1","<0.02","6.6","<1","0.36","2","0.05","510","62","8.3","<2","23.7","10","3000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19","2024-12-04","1","2.3","<50","0.074","0.09","<1","<1","23","<1","50","<0.1","2","160","0.8","<1","485","2","<0.01","117","10.1","63000","0.112","0.5","<0.01","<50","<1","40","<1","4","5","0.7","0.009","<0.5","0.081","7.7","0.9","0.2","20","<1","<0.02","1","<1","0.3","3","0.09","340","72","2.1","<2","22.8","<10","8000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-01-03","1","0.5","<50","0.075","<0.05","<1","<1","25","<1","380","<0.1","24","2200","1.6","2","5805","2","<0.01","106","9.7","1200","0.051","1.1","<0.01","<50","<1","<10","<1","10","2","0.51","0.009","<0.5","0.023","7.7","1.6","3.6","20","<1","<0.02","2","<1","0.19","4","0.02","4500","780","2.7","<2","18.8","<10","800"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-02-22","1","0.9","<50","0.47","0.09","<1","<1","35","<1","1300","0.1","20","7100","<0.2","1","17594","3","<0.01","119","9.6","340000","0.104","0.7","<0.01","<50","<1","20","<1","7","4","0.8","0.021","<0.5","0.076","7.8","<0.2","10.9","11","<1","<0.02","4.8","<1","0.73","4","0.1","17000","5800","3.3","<2","22.9","10","300000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-03-04","1","0.6","<50","0.097","0.08","<1","<1","40","<1","1300","0.1","44","7500","1.2","2","16742","3","<0.01","110","9.5","<1","0.019","0.8","<0.01","50","<1","<10","<1","12","4","0.86","0.019","<0.5","0.035","8","1","11.2","14","<1","<0.02","25","<1","0.27","5","0.21","16000","3900","16.8","2","19.4","10","<1"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-04-10","1","1.2","<50","0.084","<0.05","<1","<1","20","<1","490","<0.1","33","2600","2.5","1","6950","2","<0.01","134","11","18000","0.017","0.9","<0.01","<50","<1","20","<1","6","3","0.71","0.025","<0.5","0.036","8.5","0.8","3.9","18","<1","<0.02","1.6","<1","0.25","6","0.05","5500","1100","1.3","<2","24.1","<10","12000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-05-17","1","0.2","<50","0.096","0.09","<1","<1","25","<1","430","<0.1","15","1500","4.4","1","6041","3","<0.01","142","10.6","39000","0.013","0.8","<0.01","<50","<1","<10","<1","6","<1","0.6","0.022","<0.5","0.06","8.6","2.5","3","20","<1","<0.02","2.9","<1","0.35","4","0.06","3400","630","1.1","<2","29.7","10","15000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-06-20","1","0.7","<50","0.05","<0.05","<1","<1","24","<1","410","0.1","12","2200","1.9","<1","6935","1","<0.01","116","8.8","35000","0.169","0.6","<0.01","<50","<1","<10","<1","4","1","0.58","0.009","<0.5","0.04","8.3","0.9","3.5","18","<1","<0.02","1.7","<1","0.19","2","0.05","4900","1200","2","<2","29.1","10","12000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-07-24","1","0.3","<50","0.06","<0.05","<1","<1","21","<1","<50","<0.1","6","39","1.8","1","275","1","0.01","112","8.6","37000","0.045","0.7","<0.01","190","<1","<10","<1","4","1","0.63","0.018","<0.5","0.045","8.1","1.9","0.1","20","<1","<0.02","1.6","<1","0.16","2","0.05","220","100","1.1","<2","29.2","10","19000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-08-05","1","0.1","<50","0.079","<0.05","<1","<1","20","<1","<50","<0.1","6","110","2.1","<1","326","1","0.02","115","8.6","11000","0.035","0.6","<0.01","<50","<1","<10","<1","3","<1","0.65","0.011","<0.5","0.021","8.1","1.3","0.1","15","<1","<0.02","2.8","<1","0.22","2","0.04","250","51","2.3","<2","30.7","<10","2800"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-09-11","1","<0.1","60","0.04","<0.05","<1","<1","23","<1","<50","<0.1","9","49","0.8","<1","251","3","0.02","107","8.3","1","0.063","0.6","<0.01","<50","<1","10","<1","3","1","0.72","<0.002","<0.5","0.06","7.8","<0.2","0.1","20","<1","<0.02","1.2","<1","0.25","3","0.07","220","54","4.7","<2","28.6","10","<1"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-10-02","1","1.6","<50","0.05","0.05","<1","<1","25","<1","<50","<0.1","2","41","1.5","<1","262","<1","0.03","108","8.8","18000","0.019","0.7","<0.01","70","<1","10","<1","3","<1","0.91","0.017","<0.5","0.045","7.8","1.7","0.1","20","<1","<0.02","7.3","<1","0.13","2","0.06","200","30","12.5","<2","26.2","<10","17000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-11-06","1","0.7","<50","0.079","<0.05","<1","<1","37","<1","<50","<0.1","8","150","5.5","<1","520","<1","0.02","108","9.1","160000","0.02","0.8","<0.01","<50","<1","<10","<1","4","<1","0.75","0.022","<0.5","0.038","7.7","5.4","0.3","20","<1","<0.02","3.3","<1","0.31","3","0.06","370","42","1.7","<2","23.9","10","130000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19A","2024-12-04","1","1.3","<50","0.087","<0.05","<1","<1","29","<1","50","<0.1","3","150","2.2","2","559","1","0.01","111","9.8","18000","0.009","0.9","<0.01","<50","<1","<10","<1","7","2","0.86","0.025","<0.5","0.046","7.7","2","0.3","20","<1","<0.02","1.8","<1","0.22","2","0.06","410","59","5.9","<2","21.2","<10","4100"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-01-03","1","2.3","<50","0.085","0.06","<1","<1","44","<1","120","<0.1","11","440","17","2","1701","2","<0.01","102","9.2","22000","0.33","0.5","<0.01","<50","<1","20","<1","8","3","0.83","0.011","<0.5","0.029","8.5","17","1","17","<1","0.24","100","<1","0.5","5","0.09","1800","430","39.7","<2","19.7","<10","3600"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-02-22","1","2.2","<50","0.27","<0.05","<1","<1","47","<1","140","<0.1","6","720","0.3","<1","1831","2","<0.01","97","8.2","170000","0.126","0.5","<0.01","<50","<1","70","<1","6","4","0.91","0.021","<0.5","0.057","8","<0.2","1","16","<1","0.04","93","<1","0.55","3","0.12","1900","620","77.7","<2","23.1","<10","140000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-03-04","1","1.9","<50","0.19","0.08","<1","<1","39","<1","150","0.1","10","470","1.3","1","1597","2","<0.01","96","8.8","90","0.033","0.6","<0.01","<50","<1","60","<1","8","6","1.4","0.015","<0.5","0.017","7.5","0.5","0.9","18","<1","<0.02","16","<1","1.8","7","0.27","4800","1200","11.5","<2","19.4","10","16"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-04-10","1","1.1","<50","0.098","<0.05","<1","<1","45","<1","490","0.2","53","2400","1.3","<1","7588","3","<0.01","109","8.9","16000","0.042","0.6","<0.01","<50","<1","100","<1","7","9","0.88","0.017","<0.5","0.081","7.6","0.5","4.3","17","<1","<0.02","2.6","<1","0.33","6","0.09","6100","1400","2.4","<2","24.2","10","11000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-05-17","1","0.5","<50","0.088","0.16","<1","<1","30","<1","940","0.2","23","4700","5.1","1","13837","3","<0.01","127","9.8","72000","0.034","0.7","<0.01","<50","<1","70","<1","6","8","0.56","0.009","<0.5","0.11","7.9","1","7.8","15","<1","<0.02","6.5","<1","0.24","3","0.12","12000","2600","2.8","<2","26.4","<10","900"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-06-20","1","0.7","<50","0.026","<0.05","<1","<1","19","<1","290","<0.1","9","1300","1.4","<1","4724","2","<0.01","112","8.6","17000","0.395","0.4","<0.01","<50","<1","40","<1","3","4","0.56","0.009","<0.5","0.064","8","0.6","2.4","18","<1","<0.02","3.2","<1","0.15","2","0.08","4100","1300","3.6","<2","28.2","<10","3800"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-07-24","1","1","<50","0.15","<0.05","<1","<1","22","<1","130","<0.1","8","470","0.9","<1","2086","2","<0.01","107","8.3","21000","0.115","0.4","<0.01","60","<1","40","<1","3","6","0.57","0.009","<0.5","0.058","7.4","0.9","1","19","<1","<0.02","1.4","<1","0.29","2","0.07","1900","750","2.1","<2","28.5","<10","4300"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-08-05","1","0.9","<50","0.053","<0.05","<1","<1","19","<1","<50","<0.1","3","64","1.1","<1","344","2","<0.01","106","8.2","11000","0.134","0.3","<0.01","<50","<1","20","<1","2","3","0.57","0.005","<0.5","0.04","7.3","0.5","0.2","20","<1","<0.02","2","<1","0.2","2","0.05","340","160","2.6","<2","28.7","10","4400"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-09-11","1","0.3","<50","0.033","0.08","<1","<1","19","<1","<50","<0.1","4","53","0.4","<1","287","2","<0.01","105","8.3","8200","0.135","0.4","<0.01","<50","<1","20","<1","2","3","0.58","0.005","<0.5","0.039","7.5","0.3","0.1","20","<1","<0.02","1.6","<1","0.09","1","0.05","300","110","3.4","<2","27.7","10","1100"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-10-02","1","7.2","<50","0.016","<0.05","<1","<1","15","<1","<50","<0.1","5","46","0.3","<1","245","<1","<0.01","105","8.5","14000","0.144","0.4","<0.01","70","<1","20","<1","<2","2","0.58","0.006","<0.5","0.037","7.4","0.4","0.1","18","<1","<0.02","2.4","<1","<0.05","1","0.05","190","100","4","<2","25.7","<10","3300"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-11-06","1","1.1","<50","0.036","0.06","<1","<1","19","<1","<50","<0.1","8","67","1","<1","298","1","<0.01","107","9","230000","0.11","0.4","<0.01","<50","<1","20","<1","3","3","0.61","0.017","<0.5","0.047","7.5","0.8","0.1","19","<1","<0.02","2.1","<1","0.13","1","0.06","250","16","1.7","<2","24","<10","200000"
"Tolo Harbour And Channel","Tai Wai Nullah","TR19C","2024-12-04","1","10","<50","0.014","<0.05","<1","<1","25","<1","<50","<0.1","4","73","1.5","<1","325","2","<0.01","107","9.3","4000","0.146","0.4","<0.01","<50","<1","20","<1","3","4","0.77","0.006","<0.5","0.041","7.7","<0.2","0.2","20","<1","<0.02","0.9","<1","<0.05","2","0.04","240","46","1.8","<2","22.5","<10","1600"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-01-03","1","3.7","<50","0.082","0.07","<1","2","16","<1","2000","<0.1","32","16000","8.3","2","41498","5","<0.01","104","7.8","1400","null","0.8","<0.01","60","<1","10","<1","11","7","0.063","0.003","<0.5","<0.002","7.9","7.7","29.3","1.2","<1","<0.02","5.2","<1","0.25","5","0.03","37000","8500","2","4","20.7","<10","100"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-02-22","1","8.2","<50","0.18","0.05","<1","2","13","<1","3400","<0.1","28","18000","0.9","2","45601","5","<0.01","108","7.8","4000","null","0.8","<0.01","70","<1","30","<1","12","8","0.087","0.005","<0.5","0.01","8","<0.2","31.4","1.1","<1","<0.02","7.6","<1","0.61","5","0.11","47000","9700","3","5","22.3","20","1300"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-03-04","1","2.2","<50","0.26","<0.05","<1","1","26","<1","1900","<0.1","29","12000","2.2","1","27634","4","<0.01","94","7.8","3600","null","0.8","<0.01","90","<1","130","<1","9","6","0.53","0.023","<0.5","0.003","7.7","2","19.5","5.9","<1","<0.02","1.8","<1","0.42","5","0.09","31000","6900","1.2","2","18.9","20","460"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-04-10","1","2.3","<50","0.17","0.05","<1","1","21","<1","2800","<0.1","65","15000","3","2","40036","4","<0.01","95","6.9","5300","null","0.8","<0.01","<50","<1","100","<1","11","8","0.31","0.015","<0.5","0.05","7.9","0.9","26","3.2","<1","<0.02","4.8","<1","0.39","9","0.14","40000","8900","2.2","<2","24.2","10","900"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-05-17","1","5.7","<50","0.042","0.07","<1","1","18","<1","2400","<0.1","60","14000","12","2","37497","4","<0.01","112","7.9","450","null","0.7","<0.01","<50","<1","40","<1","10","5","0.25","0.013","<0.5","0.008","8.1","3.3","22.8","2.3","<1","<0.02","5.4","<1","0.29","5","0.06","39000","13000","0.8","2","26.9","10","10"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-06-20","1","3.4","<50","0.066","<0.05","<1","<1","16","<1","1300","<0.1","36","7400","15","1","21570","3","<0.01","114","8.2","160000","null","0.5","<0.01","<50","<1","10","<1","5","4","0.29","0.018","<0.5","0.007","8.3","3","11.8","7.1","<1","<0.02","7.4","<1","0.4","3","0.07","21000","6200","4.5","<2","29.4","10","14000"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-07-24","1","2.4","<50","0.06","<0.05","<1","2","14","<1","2700","<0.1","73","13000","21","1","43274","4","<0.01","102","6.5","13000","null","0.7","<0.01","<50","<1","<10","<1","9","7","0.15","0.008","<0.5","0.037","8","5.2","24.1","2.6","<1","<0.02","3.6","<1","0.39","4","0.12","41000","11000","3.4","3","32","<10","1700"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-08-05","1","0.8","<50","0.071","0.07","<1","1","19","<1","1600","<0.1","82","12000","2.9","1","33038","3","<0.01","104","6.8","3400","null","0.7","<0.01","<50","<1","20","<1","7","5","0.35","0.017","<0.5","0.035","8","1","17.5","7.1","<1","<0.02","1.7","<1","0.26","3","0.09","49000","12000","1.6","<2","33","<10","170"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-09-11","1","1","<50","0.17","0.09","<1","<1","18","<1","1200","<0.1","38","7600","1.3","2","17203","4","<0.01","103","7.3","3800","null","0.6","<0.01","<50","<1","50","<1","5","4","0.57","0.012","<0.5","0.046","7.9","0.3","9","11","<1","<0.02","3.8","<1","0.26","2","0.07","18000","5600","2.5","<2","30.7","<10","390"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-10-02","1","2.2","<50","0.15","<0.05","<1","1","17","<1","2000","<0.1","39","15000","6.9","1","35134","3","<0.01","99","6.9","3100","null","0.8","<0.01","60","<1","<10","<1","8","5","0.24","0.004","<0.5","0.018","8.5","1.5","20.6","4.7","<1","<0.02","3.6","<1","0.31","3","0.1","37000","8400","1.2","<2","28.3","<10","130"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-11-06","1","3","<50","0.083","0.06","<1","2","12","<1","3100","<0.1","27","21000","11","2","43062","5","<0.01","96","6.8","2500","null","0.9","<0.01","<50","<1","<10","<1","10","8","0.14","0.012","<0.5","0.017","8.1","3.7","27.4","1.6","<1","<0.02","2.6","<1","0.37","4","0.17","44000","7800","1.8","2","25.6","10","900"
"Tolo Harbour And Channel","Shing Mun Main Channel","TR19I","2024-12-04","1","3.4","<50","0.048","<0.05","<1","1","11","<1","3000","<0.1","31","20000","12","1","44002","4","<0.01","111","8","70","null","0.9","<0.01","<50","<1","<10","<1","11","8","0.026","<0.002","<0.5","0.019","8.3","1.8","29.3","0.69","<1","<0.02","4.4","<1","0.24","5","0.1","38000","5600","2.5","2","23.5","<10","30"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-01-03","1","<0.1","<50","<0.005","<0.05","<1","<1","13","<1","<50","<0.1","4","49","0.3","3","133","<1","<0.01","101","9.2","<1","0.03","0.4","<0.01","50","<1","<10","<1","9","1","0.43","<0.002","<0.5","0.012","7.7","<0.2","0.1","14","<1","<0.02","2","<1","0.16","2","0.02","150","56","2.6","<2","19.8","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-02-22","1","0.8","<50","<0.005","<0.05","<1","<1","15","<1","50","<0.1","6","77","0.2","2","230","<1","<0.01","101","9","<1","0.21","0.6","<0.01","<50","<1","<10","<1","2","3","1.1","<0.002","<0.5","0.038","8","0.3","0.1","12","<1","<0.02","4.1","<1","<0.05","3","0.04","220","58","3.1","<2","20.8","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-03-04","1","0.5","<50","<0.005","<0.05","<1","<1","18","<1","60","<0.1","7","25","<0.2","1","154","1","<0.01","100","9.4","<1","0.018","0.6","<0.01","70","<1","20","<1","3","2","1.6","<0.002","<0.5","0.044","7.6","<0.2","0.1","13","<1","<0.02","0.7","<1","<0.05","2","0.13","180","96","1.5","<2","18.6","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-04-10","1","<0.1","210","0.074","<0.05","<1","<1","21","<1","60","<0.1","6","26","0.5","3","258","2","<0.01","100","8.5","<1","0.075","0.5","<0.01","<50","<1","<10","<1","16","2","1.4","0.17","<0.5","0.033","9.5","<0.2","0.1","15","<1","<0.02","4","<1","0.2","5","0.04","200","26","1.8","<2","23.4","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-05-17","1","1","50","0.1","0.05","<1","<1","17","<1","50","<0.1","7","110","1.1","3","182","1","<0.01","100","8.3","18","0.044","0.4","<0.01","<50","<1","10","<1","7","<1","1","0.034","<0.5","0.056","8.5","0.4","0.1","19","<1","<0.02","22","<1","0.4","3","0.07","260","43","16.9","2","24.6","<10","12"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-06-20","1","<0.1","820","0.14","<0.05","1","2","14","<1","50","<0.1","5","30","0.9","6","315","2","<0.01","100","7.9","770","0.082","0.4","<0.01","<50","<1","<10","<1","23","<1","0.54","0.061","<0.5","0.12","10.3","0.4","0.1","20","<1","<0.02","30","<1","0.39","3","0.16","300","60","21.9","5","27.1","<10","170"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-07-24","1","<0.1","350","0.069","<0.05","<1","<1","12","<1","<50","<0.1","2","100","0.5","<1","269","<1","<0.01","98","7.7","<1","0.051","0.5","<0.01","<50","<1","<10","<1","5","<1","0.65","0.025","<0.5","0.09","9.7","0.2","0.1","19","<1","<0.02","5.6","<1","0.24","1","0.1","240","56","5.1","<2","27.8","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-08-05","1","<0.1","670","0.049","<0.05","<1","<1","15","<1","<50","<0.1","6","26","0.7","1","534","2","<0.01","100","7.8","<1","0.062","0.4","<0.01","<50","<1","<10","<1","4","<1","0.64","0.015","<0.5","0.032","10.5","<0.2","0.2","20","<1","<0.02","13","<1","0.16","2","0.04","330","110","5.1","<2","27.7","<10","<1"
"Tolo Harbour And Channel","Tin Sum Nullah","TR20B","2024-09-11","1","<0.1","960","0.15","<0.05","<1","<1","17","<1","<50","<0.1","6","20","<0.2","1","952","2","<0.01","100","7.9","<1","0.053","0.4","<0.01","<50","<1","<10","<1","3","1","0.79","0.018","<0.5","0.11","11","<0.2","0.5","20","<1","<0.02","22","<1","0.31","1","0.12","490","130","6.4","<2","26.8","10","<1"
