 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
    355    3051  699.28    4157.82  113.9945  22.8640   0.5788     130.2354
    355    3173  716.42    4278.35  114.0179  22.8605   0.4191     144.5696
    355    3295  733.55    4398.90  114.0413  22.8570   0.3122     171.8876
    355    3417  750.69    4519.46  114.0647  22.8534   0.3169     -150.7493
    355    3539  767.83    4640.05  114.0881  22.8499   0.4298     -124.5849
    355    3661  784.97    4760.68  114.1115  22.8463   0.5918     -110.9172
    355    3783  802.13    4881.35  114.1349  22.8428   0.7728     -103.3594
    355    3905  819.29    5002.09  114.1583  22.8392   0.9621     -98.7133
    355    4027  836.46    5122.89  114.1818  22.8356   1.1557     -95.6040
    355    4149  853.64    5243.77  114.2052  22.8321   1.3518     -93.3878
    355    4271  870.84    5364.73  114.2287  22.8285   1.5495     -91.7318
    355    4393  888.05    5485.80  114.2522  22.8249   1.7484     -90.4485
    355    4515  905.27    5606.97  114.2757  22.8213   1.9481     -89.4252
    355    4637  922.51    5728.26  114.2992  22.8177   2.1484     -88.5900
    355    4759  939.77    5849.68  114.3228  22.8141   2.3492     -87.8953
    355    4881  957.05    5971.23  114.3463  22.8105   2.5505     -87.3082
    355    5003  974.35    6092.93  114.3699  22.8069   2.7523     -86.8052
    355    5125  991.68    6214.79  114.3936  22.8032   2.9543     -86.3692
    355    5247  1009.02    6336.82  114.4172  22.7996   3.1568     -85.9875
    355    5369  1026.39    6459.02  114.4409  22.7960   3.3596     -85.6504
    355    5491  1043.79    6581.41  114.4646  22.7923   3.5627     -85.3502
    355    5613  1061.22    6704.00  114.4884  22.7886   3.7661     -85.0811
    355    5735  1078.68    6826.79  114.5122  22.7850   3.9699     -84.8383
    355    5857  1096.16    6949.80  114.5360  22.7813   4.1740     -84.6180
    355    6000  1116.70    7094.28  114.5640  22.7770   4.4137     -84.3843
    473       1  383.04    1094.34  113.3989  22.9312   5.5718     102.0850
    473     123  400.61    1217.91  113.4229  22.9277   5.3670     102.2116
    473     245  418.14    1341.24  113.4469  22.9242   5.1626     102.3472
    473     367  435.64    1464.33  113.4708  22.9206   4.9585     102.4930
    473     489  453.11    1587.21  113.4947  22.9171   4.7546     102.6503
    473     611  470.55    1709.87  113.5185  22.9136   4.5511     102.8207
    473     733  487.96    1832.34  113.5423  22.9101   4.3478     103.0058
    473     855  505.34    1954.61  113.5661  22.9065   4.1448     103.2079
    473     977  522.70    2076.70  113.5898  22.9030   3.9420     103.4296
    473    1099  540.03    2198.62  113.6135  22.8995   3.7396     103.6741
    473    1221  557.34    2320.38  113.6372  22.8960   3.5374     103.9452
    473    1343  574.63    2441.98  113.6608  22.8925   3.3354     104.2477
    473    1465  591.90    2563.45  113.6844  22.8889   3.1337     104.5876
    473    1587  609.15    2684.78  113.7080  22.8854   2.9323     104.9727
    473    1709  626.38    2805.99  113.7315  22.8819   2.7312     105.4129
    473    1831  643.59    2927.10  113.7550  22.8784   2.5304     105.9211
    473    1953  660.80    3048.10  113.7785  22.8749   2.3299     106.5149
    473    2075  677.99    3169.00  113.8020  22.8714   2.1299     107.2182
    473    2197  695.16    3289.83  113.8255  22.8679   1.9303     108.0648
    473    2319  712.33    3410.59  113.8489  22.8643   1.7313     109.1038
    473    2441  729.49    3531.28  113.8724  22.8608   1.5330     110.4092
    473    2563  746.64    3651.92  113.8958  22.8573   1.3359     112.0977
    473    2685  763.79    3772.52  113.9192  22.8538   1.1403     114.3644
    473    2807  780.93    3893.09  113.9426  22.8503   0.9472     117.5575
    473    2929  798.07    4013.64  113.9660  22.8467   0.7586     122.3548
    473    3051  815.20    4134.18  113.9894  22.8432   0.5787     130.2159
    473    3173  832.34    4254.71  114.0128  22.8397   0.4190     144.5457
    473    3295  849.48    4375.25  114.0362  22.8361   0.3120     171.8674
    473    3417  866.62    4495.82  114.0596  22.8326   0.3168     -150.7476
    473    3539  883.76    4616.40  114.0830  22.8290   0.4296     -124.5731
    473    3661  900.91    4737.03  114.1064  22.8255   0.5917     -110.9055
    473    3783  918.07    4857.71  114.1298  22.8219   0.7727     -103.3496
    473    3905  935.23    4978.44  114.1533  22.8184   0.9620     -98.7051
    473    4027  952.41    5099.24  114.1767  22.8148   1.1556     -95.5971
    473    4149  969.59    5220.12  114.2001  22.8112   1.3517     -93.3820
    473    4271  986.79    5341.08  114.2236  22.8077   1.5495     -91.7268
    473    4393  1004.00    5462.14  114.2471  22.8041   1.7483     -90.4442
    473    4515  1021.23    5583.31  114.2706  22.8005   1.9480     -89.4215
    473    4637  1038.48    5704.60  114.2941  22.7969   2.1483     -88.5868
    473    4759  1055.74    5826.02  114.3176  22.7933   2.3492     -87.8925
